tarjeta,perfil,zona_residencia_origen,activa,fecha_baja,ultima_operacion,ultima_secuencia
TC-00023211,adulto_mayor,San Miguel Petapa,true,,UPDATE,22329
TC-00023216,trabajador,Zona 17,true,,INSERT,8379
TC-00023218,estudiante,Zona 8,false,2026-06-27 15:36:00,DELETE,18561
TC-00023219,estudiante,Villa Nueva,true,,UPDATE,12854
TC-00023223,,,false,2026-06-25 16:07:00,DELETE,17236
TC-00023231,estudiante,Villa Nueva,true,,UPDATE,5860
TC-00023236,estudiante,Zona 7,true,,UPDATE,7988
TC-00023251,,,false,2026-06-17 07:16:00,DELETE,11644
TC-00023254,adulto_mayor,Zona 18,true,,UPDATE,15523
TC-00023260,estudiante,Santa Catarina Pinula,true,,UPDATE,23258
TC-00023262,estudiante,Zona 13,true,,INSERT,26399
TC-00023263,trabajador,Villa Nueva,true,,INSERT,9116
TC-00023266,trabajador,San Miguel Petapa,true,,UPDATE,7855
TC-00023282,trabajador,Villa Nueva,true,,UPDATE,24560
TC-00023291,adulto_mayor,Zona 12,true,,INSERT,23496
TC-00023292,adulto_mayor,Zona 7,true,,UPDATE,500
TC-00023295,general,Zona 1,true,,UPDATE,25179
TC-00023298,adulto_mayor,Zona 1,true,,UPDATE,6117
TC-00023299,trabajador,Zona 17,true,,INSERT,13852
TC-00023300,trabajador,Santa Catarina Pinula,true,,INSERT,2828
TC-00023302,trabajador,Mixco,true,,INSERT,155
TC-00023303,estudiante,Zona 11,true,,INSERT,22309
TC-00023308,general,San Miguel Petapa,false,2026-06-14 10:52:00,DELETE,9629
TC-00023309,trabajador,Zona 8,true,,INSERT,2761
TC-00023312,trabajador,Santa Catarina Pinula,true,,INSERT,26306
TC-00023314,trabajador,Zona 6,true,,UPDATE,294
TC-00023315,trabajador,Zona 8,true,,INSERT,16694
TC-00023316,trabajador,Zona 10,true,,UPDATE,16915
TC-00023317,trabajador,Zona 17,true,,UPDATE,1248
TC-00023324,trabajador,Zona 17,true,,INSERT,21442
TC-00023328,trabajador,Santa Catarina Pinula,true,,INSERT,18678
TC-00023330,trabajador,Zona 4,true,,INSERT,23632
TC-00023332,general,Zona 17,true,,UPDATE,3238
TC-00023338,trabajador,Villa Nueva,true,,UPDATE,18214
TC-00023341,estudiante,Zona 12,true,,UPDATE,13684
TC-00023342,estudiante,Zona 4,true,,INSERT,1542
TC-00023343,estudiante,Zona 17,true,,UPDATE,23173
TC-00023345,trabajador,San Miguel Petapa,true,,UPDATE,5307
TC-00023350,trabajador,Zona 11,true,,INSERT,1406
TC-00023364,trabajador,Zona 13,true,,INSERT,27618
TC-00023367,,,false,2026-06-04 01:39:00,DELETE,2736
TC-00023372,general,Villa Nueva,true,,UPDATE,12155
TC-00023378,,,false,2026-07-01 18:39:00,DELETE,21309
TC-00023381,,,false,2026-06-08 10:52:00,DELETE,5509
TC-00023383,trabajador,Zona 8,true,,INSERT,13160
TC-00023389,estudiante,Zona 6,true,,UPDATE,26815
TC-00023390,trabajador,Zona 13,true,,UPDATE,12850
TC-00023392,,,false,2026-06-24 22:20:00,DELETE,16471
TC-00023396,adulto_mayor,Zona 6,true,,UPDATE,15577
TC-00023397,estudiante,San Miguel Petapa,true,,INSERT,26365
TC-00023401,general,Zona 17,true,,INSERT,15356
TC-00023411,trabajador,Mixco,true,,UPDATE,18429
TC-00023413,estudiante,Zona 17,true,,UPDATE,19581
TC-00023421,trabajador,Zona 18,true,,INSERT,26926
TC-00023423,trabajador,Zona 7,true,,UPDATE,1656
TC-00023429,trabajador,Zona 11,true,,INSERT,27101
TC-00023433,trabajador,Mixco,true,,INSERT,26355
TC-00023438,trabajador,Zona 8,true,,INSERT,25733
TC-00023442,general,Zona 1,true,,UPDATE,1204
TC-00023445,trabajador,Zona 7,true,,UPDATE,27937
TC-00023448,estudiante,Zona 12,true,,UPDATE,23285
TC-00023452,general,San Miguel Petapa,true,,INSERT,5029
TC-00023457,estudiante,Santa Catarina Pinula,true,,UPDATE,974
TC-00023458,adulto_mayor,Mixco,true,,INSERT,25608
TC-00023460,,,false,2026-06-23 18:03:00,DELETE,15852
TC-00023461,trabajador,Zona 9,true,,UPDATE,27282
TC-00023463,adulto_mayor,Zona 6,true,,UPDATE,25811
TC-00023466,general,Zona 17,true,,UPDATE,27947
TC-00023467,estudiante,Zona 10,true,,UPDATE,19585
TC-00023470,trabajador,Zona 17,true,,UPDATE,5373
TC-00023482,estudiante,Zona 1,true,,UPDATE,22357
TC-00023483,trabajador,Zona 1,true,,UPDATE,16360
TC-00023490,trabajador,Zona 10,true,,UPDATE,17146
TC-00023497,trabajador,Zona 4,true,,INSERT,16613
TC-00023499,general,Zona 1,true,,INSERT,24220
TC-00023501,trabajador,Zona 10,true,,UPDATE,13523
TC-00023505,general,Zona 1,true,,UPDATE,1113
TC-00023518,adulto_mayor,Zona 10,true,,UPDATE,26733
TC-00023521,trabajador,Zona 4,true,,INSERT,4342
TC-00023525,estudiante,Villa Nueva,true,,INSERT,135
TC-00023528,general,Mixco,true,,UPDATE,29964
TC-00023533,,,false,2026-06-13 00:32:00,DELETE,8899
TC-00023538,trabajador,Santa Catarina Pinula,true,,INSERT,22979
TC-00023541,adulto_mayor,Zona 7,true,,UPDATE,12851
TC-00023546,general,Zona 9,true,,INSERT,22773
TC-00023553,general,Zona 4,true,,UPDATE,23719
TC-00023559,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,11532
TC-00023563,,,false,2026-07-03 18:55:00,DELETE,22726
TC-00023565,trabajador,Zona 9,true,,INSERT,27080
TC-00023567,,,false,2026-06-06 23:03:00,DELETE,4104
TC-00023569,estudiante,Zona 6,true,,INSERT,19420
TC-00023570,trabajador,Zona 7,true,,UPDATE,30192
TC-00023576,,,false,2026-06-17 12:11:00,DELETE,11714
TC-00023577,trabajador,Mixco,true,,INSERT,21482
TC-00023580,general,Santa Catarina Pinula,true,,INSERT,5588
TC-00023582,,,false,2026-06-28 06:02:00,DELETE,19313
TC-00023583,adulto_mayor,Zona 17,false,2026-06-11 11:58:00,DELETE,7552
TC-00023584,general,Zona 7,true,,INSERT,7718
TC-00023589,general,Zona 4,true,,UPDATE,10193
TC-00023590,trabajador,Zona 1,true,,INSERT,2087
TC-00023591,trabajador,Zona 12,true,,UPDATE,24437
TC-00023592,general,Villa Nueva,true,,INSERT,27646
TC-00023595,estudiante,Zona 12,true,,UPDATE,30210
TC-00023601,trabajador,Zona 10,true,,UPDATE,29951
TC-00023605,general,Mixco,true,,UPDATE,1100
TC-00023609,adulto_mayor,Zona 9,true,,UPDATE,8122
TC-00023610,trabajador,Zona 18,true,,INSERT,14497
TC-00023617,estudiante,Zona 7,true,,INSERT,17309
TC-00023620,trabajador,Zona 6,true,,UPDATE,10692
TC-00023621,trabajador,Zona 13,false,2026-06-29 02:42:00,DELETE,20002
TC-00023626,,,false,2026-06-18 08:16:00,DELETE,12396
TC-00023634,estudiante,Zona 1,true,,UPDATE,12017
TC-00023637,,,false,2026-06-22 02:55:00,DELETE,15094
TC-00023640,general,Villa Nueva,true,,INSERT,17409
TC-00023641,trabajador,Zona 4,true,,INSERT,5614
TC-00023642,trabajador,Zona 13,true,,INSERT,28359
TC-00023655,estudiante,Zona 10,true,,UPDATE,25982
TC-00023659,trabajador,Zona 7,true,,UPDATE,5172
TC-00023660,estudiante,Mixco,true,,UPDATE,21767
TC-00023665,general,Zona 18,true,,INSERT,14531
TC-00023676,estudiante,Zona 9,true,,UPDATE,19747
TC-00023677,trabajador,Zona 17,true,,INSERT,906
TC-00023678,,,false,2026-06-12 02:12:00,DELETE,8227
TC-00023679,,,false,2026-07-11 09:58:00,DELETE,28222
TC-00023681,trabajador,Zona 9,true,,UPDATE,15488
TC-00023683,,,false,2026-07-03 01:49:00,DELETE,22722
TC-00023684,estudiante,Villa Nueva,true,,INSERT,4994
TC-00023685,adulto_mayor,Villa Nueva,true,,INSERT,8326
TC-00023690,trabajador,Zona 1,true,,INSERT,25705
TC-00023691,estudiante,Zona 10,true,,INSERT,2200
TC-00023692,adulto_mayor,Zona 10,true,,UPDATE,22668
TC-00023700,general,Santa Catarina Pinula,true,,INSERT,17402
TC-00023702,trabajador,Zona 1,false,2026-07-03 07:42:00,DELETE,22685
TC-00023704,trabajador,Zona 12,true,,INSERT,22187
TC-00023713,adulto_mayor,Zona 17,true,,UPDATE,9298
TC-00023715,adulto_mayor,Mixco,true,,UPDATE,12893
TC-00023718,general,Zona 8,true,,UPDATE,24468
TC-00023721,,,false,2026-06-12 13:35:00,DELETE,8216
TC-00023726,,,false,2026-07-08 08:13:00,DELETE,26145
TC-00023729,trabajador,Zona 4,true,,INSERT,15385
TC-00023739,estudiante,Villa Nueva,true,,INSERT,27765
TC-00023742,general,Zona 9,false,2026-07-05 10:04:00,DELETE,24112
TC-00023743,trabajador,Zona 12,true,,INSERT,20794
TC-00023749,trabajador,Zona 6,true,,UPDATE,24403
TC-00023763,trabajador,Zona 10,true,,UPDATE,16938
TC-00023781,general,Zona 13,true,,INSERT,29903
TC-00023786,general,Zona 18,true,,INSERT,7729
TC-00023791,estudiante,Santa Catarina Pinula,true,,UPDATE,30884
TC-00023800,general,Zona 17,true,,UPDATE,24705
TC-00023801,adulto_mayor,Zona 1,true,,UPDATE,13000
TC-00023802,trabajador,Santa Catarina Pinula,true,,INSERT,9846
TC-00023803,adulto_mayor,Zona 8,true,,UPDATE,30138
TC-00023809,general,San Miguel Petapa,true,,UPDATE,316
TC-00023812,estudiante,Zona 10,true,,UPDATE,18964
TC-00023822,trabajador,Zona 11,true,,INSERT,9703
TC-00023832,estudiante,Villa Nueva,true,,UPDATE,3957
TC-00023840,estudiante,Zona 8,true,,UPDATE,13643
TC-00023841,adulto_mayor,Zona 10,true,,UPDATE,14875
TC-00023848,trabajador,Zona 13,true,,INSERT,19424
TC-00023852,adulto_mayor,Zona 17,true,,UPDATE,19207
TC-00023853,trabajador,Zona 10,true,,INSERT,17482
TC-00023855,trabajador,Zona 18,true,,INSERT,25679
TC-00023859,,,false,2026-07-03 20:45:00,DELETE,22751
TC-00023867,trabajador,Zona 13,true,,UPDATE,1046
TC-00023871,adulto_mayor,Zona 4,true,,UPDATE,17118
TC-00023875,,,false,2026-06-03 06:58:00,DELETE,2047
TC-00023876,trabajador,Santa Catarina Pinula,true,,UPDATE,12041
TC-00023879,,,false,2026-06-16 02:55:00,DELETE,11000
TC-00023884,,,false,2026-07-07 14:50:00,DELETE,25487
TC-00023892,estudiante,Zona 12,true,,INSERT,17379
TC-00023895,estudiante,Zona 9,true,,UPDATE,1856
TC-00023897,general,Zona 13,false,2026-06-30 16:55:00,DELETE,20629
TC-00023898,general,Zona 6,true,,UPDATE,25263
TC-00023902,trabajador,Zona 11,true,,INSERT,12629
TC-00023907,trabajador,Zona 6,true,,UPDATE,1781
TC-00023911,general,Zona 9,true,,UPDATE,29353
TC-00023913,,,false,2026-06-29 18:17:00,DELETE,19994
TC-00023921,general,Zona 13,true,,UPDATE,3754
TC-00023923,trabajador,Zona 10,true,,INSERT,22246
TC-00023924,general,Zona 8,true,,INSERT,17303
TC-00023928,trabajador,Santa Catarina Pinula,true,,UPDATE,1719
TC-00023930,trabajador,Mixco,true,,INSERT,21520
TC-00023931,adulto_mayor,San Miguel Petapa,true,,UPDATE,26761
TC-00023939,general,Zona 10,true,,UPDATE,30074
TC-00023940,trabajador,Zona 12,true,,UPDATE,9301
TC-00023950,trabajador,Santa Catarina Pinula,true,,INSERT,24915
TC-00023951,estudiante,Zona 10,true,,UPDATE,26574
TC-00023955,adulto_mayor,Zona 7,true,,UPDATE,29280
TC-00023956,estudiante,San Miguel Petapa,true,,UPDATE,5152
TC-00023957,,,false,2026-06-11 04:11:00,DELETE,7538
TC-00023960,,,false,2026-06-19 15:32:00,DELETE,13039
TC-00023963,trabajador,Zona 4,true,,UPDATE,19787
TC-00023964,trabajador,Zona 8,true,,INSERT,17943
TC-00023965,estudiante,Zona 10,true,,UPDATE,10877
TC-00023968,adulto_mayor,Zona 17,true,,UPDATE,8149
TC-00023969,estudiante,Villa Nueva,true,,UPDATE,14140
TC-00023975,general,Villa Nueva,true,,UPDATE,8777
TC-00023978,general,Zona 12,true,,UPDATE,16120
TC-00023987,trabajador,Zona 8,true,,UPDATE,7493
TC-00023990,trabajador,Zona 18,true,,INSERT,28434
TC-00023994,general,Zona 12,true,,INSERT,16685
TC-00023996,general,Zona 11,true,,UPDATE,8748
TC-00024000,,,false,2026-06-19 05:57:00,DELETE,13078
TC-00024002,,,false,2026-06-03 04:57:00,DELETE,1981
TC-00024004,,,false,2026-06-18 07:44:00,DELETE,12398
TC-00024005,,,false,2026-07-09 02:18:00,DELETE,26895
TC-00024012,trabajador,Zona 10,true,,INSERT,20136
TC-00024013,general,Zona 13,true,,UPDATE,11597
TC-00024014,trabajador,Zona 1,true,,UPDATE,23136
TC-00024027,general,Zona 4,true,,INSERT,27089
TC-00024028,adulto_mayor,Mixco,true,,UPDATE,9359
TC-00024031,adulto_mayor,Zona 1,true,,UPDATE,13588
TC-00024033,trabajador,Zona 10,true,,INSERT,2881
TC-00024035,adulto_mayor,Zona 1,true,,UPDATE,3151
TC-00024036,general,Zona 1,true,,UPDATE,22531
TC-00024037,estudiante,Zona 18,true,,UPDATE,14845
TC-00024038,estudiante,Zona 4,true,,INSERT,15375
TC-00024039,general,Zona 17,true,,UPDATE,30665
TC-00024042,adulto_mayor,Santa Catarina Pinula,false,2026-07-06 18:02:00,DELETE,24766
TC-00024045,estudiante,Zona 4,true,,INSERT,24284
TC-00024046,general,San Miguel Petapa,true,,INSERT,20744
TC-00024050,general,Zona 10,true,,UPDATE,18271
TC-00024056,general,Zona 10,true,,UPDATE,12022
TC-00024057,adulto_mayor,Zona 4,true,,UPDATE,24499
TC-00024058,general,Zona 6,true,,UPDATE,29295
TC-00024062,adulto_mayor,Zona 11,true,,INSERT,16775
TC-00024065,general,Zona 6,true,,UPDATE,26468
TC-00024069,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,30072
TC-00024072,estudiante,Zona 6,true,,UPDATE,3983
TC-00024075,general,Zona 8,false,2026-07-09 08:29:00,DELETE,26851
TC-00024082,adulto_mayor,Zona 1,true,,INSERT,829
TC-00024084,trabajador,Zona 17,true,,UPDATE,28077
TC-00024086,estudiante,Zona 7,true,,UPDATE,15493
TC-00024090,trabajador,Mixco,true,,INSERT,8337
TC-00024091,,,false,2026-06-26 12:56:00,DELETE,17906
TC-00024092,trabajador,Villa Nueva,true,,INSERT,24237
TC-00024094,,,false,2026-06-25 16:03:00,DELETE,17180
TC-00024096,,,false,2026-06-16 04:53:00,DELETE,11033
TC-00024098,estudiante,Zona 8,true,,UPDATE,19710
TC-00024100,adulto_mayor,Zona 10,true,,UPDATE,27332
TC-00024106,,,false,2026-07-09 05:23:00,DELETE,26904
TC-00024110,general,Zona 18,true,,UPDATE,18380
TC-00024111,general,Zona 6,true,,UPDATE,12900
TC-00024115,trabajador,Zona 18,true,,UPDATE,15694
TC-00024118,adulto_mayor,Zona 10,true,,UPDATE,10103
TC-00024119,general,Zona 11,true,,UPDATE,25865
TC-00024121,,,false,2026-06-26 16:45:00,DELETE,17855
TC-00024122,adulto_mayor,Zona 9,true,,UPDATE,3233
TC-00024123,,,false,2026-06-03 21:33:00,DELETE,1987
TC-00024129,trabajador,Zona 10,true,,UPDATE,28645
TC-00024133,trabajador,Zona 7,true,,INSERT,25699
TC-00024144,estudiante,Zona 18,true,,UPDATE,28112
TC-00024146,general,Zona 12,true,,UPDATE,16401
TC-00024147,,,false,2026-06-13 09:27:00,DELETE,8936
TC-00024149,trabajador,Zona 11,true,,INSERT,8334
TC-00024150,,,false,2026-06-14 11:54:00,DELETE,9649
TC-00024154,trabajador,Santa Catarina Pinula,true,,INSERT,18102
TC-00024166,adulto_mayor,Zona 1,true,,UPDATE,28700
TC-00024167,estudiante,Zona 18,true,,INSERT,8382
TC-00024176,,,false,2026-06-30 11:16:00,DELETE,20672
TC-00024182,estudiante,Santa Catarina Pinula,true,,UPDATE,27955
TC-00024183,,,false,2026-07-10 09:36:00,DELETE,27576
TC-00024185,general,Zona 13,true,,UPDATE,22411
TC-00024188,general,Zona 4,true,,UPDATE,5883
TC-00024209,trabajador,San Miguel Petapa,true,,UPDATE,11975
TC-00024217,estudiante,Zona 10,true,,INSERT,16677
TC-00024219,estudiante,Zona 10,true,,UPDATE,4663
TC-00024222,trabajador,Zona 6,true,,UPDATE,532
TC-00024225,general,Villa Nueva,true,,INSERT,9135
TC-00024226,general,Zona 13,true,,UPDATE,1882
TC-00024227,trabajador,Zona 18,true,,INSERT,17318
TC-00024228,trabajador,Mixco,true,,INSERT,8975
TC-00024230,estudiante,Mixco,true,,UPDATE,6788
TC-00024231,estudiante,San Miguel Petapa,true,,UPDATE,19613
TC-00024233,general,Villa Nueva,true,,INSERT,2910
TC-00024234,general,Zona 4,true,,UPDATE,10008
TC-00024236,general,Zona 17,true,,UPDATE,3777
TC-00024237,general,Zona 10,true,,UPDATE,2623
TC-00024238,estudiante,Zona 8,true,,UPDATE,1825
TC-00024239,estudiante,Mixco,true,,UPDATE,6480
TC-00024242,estudiante,Zona 13,true,,INSERT,28402
TC-00024248,trabajador,Zona 11,true,,INSERT,4173
TC-00024250,trabajador,San Miguel Petapa,true,,INSERT,30477
TC-00024253,trabajador,Zona 6,true,,INSERT,7739
TC-00024254,,,false,2026-06-18 05:19:00,DELETE,12399
TC-00024256,trabajador,Zona 11,true,,UPDATE,17050
TC-00024260,trabajador,Villa Nueva,true,,UPDATE,27353
TC-00024271,estudiante,Zona 12,true,,UPDATE,28141
TC-00024274,estudiante,Zona 4,true,,INSERT,7749
TC-00024282,adulto_mayor,Zona 8,true,,UPDATE,3174
TC-00024283,adulto_mayor,Zona 8,true,,UPDATE,30015
TC-00024284,general,Zona 18,true,,UPDATE,21883
TC-00024287,adulto_mayor,Zona 6,true,,UPDATE,15737
TC-00024289,general,Zona 1,true,,UPDATE,23135
TC-00024305,trabajador,Zona 9,true,,INSERT,8293
TC-00024308,trabajador,Villa Nueva,true,,INSERT,18638
TC-00024316,estudiante,Zona 4,true,,INSERT,15412
TC-00024319,estudiante,Zona 1,true,,INSERT,20109
TC-00024320,general,Zona 18,true,,UPDATE,28820
TC-00024322,trabajador,San Miguel Petapa,true,,INSERT,27107
TC-00024324,trabajador,Mixco,true,,INSERT,4833
TC-00024332,estudiante,San Miguel Petapa,true,,UPDATE,3012
TC-00024344,trabajador,Zona 13,true,,UPDATE,21705
TC-00024350,trabajador,San Miguel Petapa,true,,INSERT,28406
TC-00024356,adulto_mayor,Zona 18,false,2026-06-16 03:40:00,DELETE,10993
TC-00024358,trabajador,Zona 18,true,,UPDATE,30898
TC-00024359,trabajador,Santa Catarina Pinula,true,,INSERT,27123
TC-00024364,estudiante,Zona 6,true,,INSERT,27727
TC-00024366,estudiante,Zona 17,true,,INSERT,3465
TC-00024369,adulto_mayor,Zona 6,true,,INSERT,22956
TC-00024372,trabajador,Villa Nueva,true,,INSERT,12656
TC-00024374,trabajador,Zona 10,true,,INSERT,15987
TC-00024375,adulto_mayor,Zona 9,true,,INSERT,16653
TC-00024377,estudiante,Zona 7,true,,UPDATE,18524
TC-00024378,trabajador,Zona 12,true,,INSERT,9067
TC-00024379,trabajador,Zona 8,true,,INSERT,29754
TC-00024381,trabajador,Zona 18,true,,INSERT,12636
TC-00024383,adulto_mayor,Zona 11,true,,INSERT,28392
TC-00024385,estudiante,Santa Catarina Pinula,true,,UPDATE,8830
TC-00024387,estudiante,Zona 12,true,,UPDATE,19855
TC-00024390,trabajador,Zona 9,true,,INSERT,22976
TC-00024392,trabajador,Villa Nueva,true,,INSERT,21487
TC-00024398,estudiante,Zona 1,true,,UPDATE,25197
TC-00024399,general,Zona 12,true,,UPDATE,19828
TC-00024403,,,false,2026-06-23 04:48:00,DELETE,15786
TC-00024404,trabajador,Santa Catarina Pinula,true,,INSERT,18044
TC-00024405,,,false,2026-06-15 20:54:00,DELETE,10273
TC-00024407,trabajador,Santa Catarina Pinula,true,,INSERT,102
TC-00024408,estudiante,Villa Nueva,true,,UPDATE,3109
TC-00024409,,,false,2026-06-14 08:03:00,DELETE,9608
TC-00024410,trabajador,Villa Nueva,true,,UPDATE,12264
TC-00024418,trabajador,Zona 6,true,,INSERT,5677
TC-00024422,estudiante,Zona 18,true,,UPDATE,22493
TC-00024423,trabajador,Zona 10,true,,INSERT,23668
TC-00024425,general,Villa Nueva,true,,INSERT,29190
TC-00024430,trabajador,Zona 9,true,,UPDATE,1851
TC-00024431,trabajador,Villa Nueva,true,,INSERT,18167
TC-00024432,trabajador,Zona 7,true,,INSERT,12540
TC-00024437,estudiante,Zona 6,true,,INSERT,30444
TC-00024445,general,Zona 1,true,,UPDATE,7433
TC-00024447,general,San Miguel Petapa,true,,INSERT,21618
TC-00024450,general,Zona 1,true,,UPDATE,15471
TC-00024452,trabajador,Zona 17,true,,INSERT,28508
TC-00024461,adulto_mayor,Zona 9,true,,UPDATE,13007
TC-00024465,,,false,2026-07-04 07:53:00,DELETE,23378
TC-00024466,estudiante,Zona 1,true,,INSERT,29099
TC-00024467,general,Zona 13,true,,UPDATE,13531
TC-00024469,trabajador,Zona 6,true,,INSERT,4371
TC-00024471,,,false,2026-06-15 16:52:00,DELETE,10280
TC-00024473,estudiante,Mixco,true,,UPDATE,8070
TC-00024475,estudiante,Zona 6,true,,UPDATE,19786
TC-00024481,adulto_mayor,Zona 1,true,,UPDATE,7170
TC-00024483,,,false,2026-07-13 09:06:00,DELETE,29614
TC-00024487,estudiante,Zona 17,true,,UPDATE,18966
TC-00024488,trabajador,Zona 12,true,,INSERT,20721
TC-00024491,adulto_mayor,Zona 12,true,,UPDATE,19576
TC-00024492,adulto_mayor,Mixco,true,,UPDATE,5771
TC-00024500,,,false,2026-06-19 14:09:00,DELETE,13068
TC-00024501,trabajador,Zona 17,true,,UPDATE,29500
TC-00024507,general,Zona 7,true,,UPDATE,25254
TC-00024517,,,false,2026-07-10 21:20:00,DELETE,27552
TC-00024519,,,false,2026-06-11 00:51:00,DELETE,7547
TC-00024521,general,Mixco,true,,INSERT,26974
TC-00024524,estudiante,Zona 18,true,,UPDATE,30907
TC-00024529,general,Villa Nueva,true,,UPDATE,10185
TC-00024530,trabajador,Zona 9,true,,UPDATE,25434
TC-00024531,trabajador,Zona 7,true,,INSERT,15404
TC-00024532,general,Zona 13,true,,INSERT,22167
TC-00024533,estudiante,Zona 1,true,,UPDATE,15627
TC-00024537,trabajador,Santa Catarina Pinula,true,,UPDATE,16986
TC-00024544,general,Zona 6,true,,INSERT,8416
TC-00024545,,,false,2026-06-14 11:12:00,DELETE,9640
TC-00024546,trabajador,Zona 8,true,,UPDATE,4664
TC-00024549,,,false,2026-06-06 15:18:00,DELETE,4051
TC-00024550,estudiante,Mixco,true,,INSERT,30395
TC-00024551,trabajador,Zona 9,true,,INSERT,16783
TC-00024553,trabajador,Mixco,true,,INSERT,18137
TC-00024562,estudiante,San Miguel Petapa,true,,UPDATE,27382
TC-00024563,trabajador,Zona 1,true,,UPDATE,17806
TC-00024564,,,false,2026-07-08 14:53:00,DELETE,26135
TC-00024569,trabajador,Villa Nueva,true,,UPDATE,4658
TC-00024571,,,false,2026-06-10 08:55:00,DELETE,6875
TC-00024579,trabajador,Santa Catarina Pinula,true,,INSERT,20108
TC-00024582,,,false,2026-06-25 07:51:00,DELETE,17205
TC-00024584,trabajador,Zona 8,true,,UPDATE,9289
TC-00024586,trabajador,Zona 8,true,,UPDATE,18342
TC-00024595,adulto_mayor,Zona 13,true,,UPDATE,1089
TC-00024596,trabajador,Zona 13,true,,UPDATE,1764
TC-00024602,trabajador,Zona 11,true,,INSERT,1437
TC-00024604,,,false,2026-06-02 11:18:00,DELETE,1335
TC-00024608,adulto_mayor,Zona 7,true,,UPDATE,10076
TC-00024610,,,false,2026-06-20 23:21:00,DELETE,13778
TC-00024612,adulto_mayor,San Miguel Petapa,true,,INSERT,17365
TC-00024615,adulto_mayor,Zona 4,false,2026-07-06 04:39:00,DELETE,24767
TC-00024617,estudiante,Zona 18,true,,UPDATE,11636
TC-00024621,general,Zona 4,true,,INSERT,16734
TC-00024622,general,San Miguel Petapa,true,,UPDATE,23286
TC-00024626,estudiante,Mixco,true,,INSERT,19371
TC-00024629,general,San Miguel Petapa,true,,UPDATE,4416
TC-00024631,trabajador,San Miguel Petapa,true,,UPDATE,20560
TC-00024632,,,false,2026-07-07 10:36:00,DELETE,25474
TC-00024633,estudiante,Zona 18,true,,UPDATE,25826
TC-00024634,estudiante,Zona 1,true,,UPDATE,24486
TC-00024636,trabajador,Zona 9,true,,INSERT,2071
TC-00024643,trabajador,Zona 8,true,,INSERT,16634
TC-00024644,estudiante,San Miguel Petapa,true,,UPDATE,5285
TC-00024646,trabajador,Zona 11,true,,UPDATE,18404
TC-00024657,adulto_mayor,Zona 1,true,,UPDATE,1118
TC-00024658,adulto_mayor,Zona 4,true,,INSERT,3452
TC-00024660,adulto_mayor,Zona 6,true,,UPDATE,28120
TC-00024661,estudiante,Zona 8,true,,UPDATE,8524
TC-00024663,estudiante,Zona 7,true,,INSERT,3641
TC-00024666,,,false,2026-06-21 09:41:00,DELETE,14402
TC-00024667,trabajador,Zona 9,true,,INSERT,9106
TC-00024672,general,Zona 7,true,,UPDATE,12752
TC-00024675,general,Zona 13,true,,INSERT,11234
TC-00024676,adulto_mayor,Zona 1,true,,UPDATE,1101
TC-00024677,trabajador,Zona 7,true,,UPDATE,11442
TC-00024679,trabajador,Zona 10,true,,UPDATE,30958
TC-00024681,trabajador,Zona 11,true,,INSERT,803
TC-00024682,trabajador,Zona 11,true,,UPDATE,10841
TC-00024691,adulto_mayor,Zona 18,true,,INSERT,24265
TC-00024696,estudiante,Zona 12,true,,UPDATE,3034
TC-00024704,adulto_mayor,Zona 7,true,,INSERT,13136
TC-00024709,trabajador,Zona 18,true,,INSERT,29189
TC-00024718,general,San Miguel Petapa,true,,INSERT,19409
TC-00024720,adulto_mayor,Villa Nueva,true,,UPDATE,14389
TC-00024724,general,Villa Nueva,true,,INSERT,29186
TC-00024725,general,Zona 6,true,,INSERT,20176
TC-00024729,trabajador,Zona 7,true,,INSERT,6982
TC-00024739,,,false,2026-07-07 22:46:00,DELETE,25447
TC-00024741,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,22416
TC-00024743,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,21643
TC-00024745,trabajador,Mixco,true,,UPDATE,2643
TC-00024747,estudiante,Zona 10,true,,UPDATE,10019
TC-00024748,adulto_mayor,Zona 4,true,,UPDATE,18934
TC-00024751,trabajador,Zona 12,true,,UPDATE,27903
TC-00024752,trabajador,Zona 17,true,,UPDATE,19677
TC-00024755,estudiante,Zona 11,true,,INSERT,3566
TC-00024756,estudiante,Zona 1,true,,UPDATE,10134
TC-00024761,general,Zona 7,true,,UPDATE,26127
TC-00024762,,,false,2026-06-07 09:21:00,DELETE,4815
TC-00024767,trabajador,Zona 12,true,,INSERT,4248
TC-00024768,general,San Miguel Petapa,true,,UPDATE,20964
TC-00024774,adulto_mayor,Zona 8,true,,UPDATE,30123
TC-00024779,trabajador,Zona 8,true,,INSERT,27810
TC-00024784,general,Zona 4,true,,UPDATE,14382
TC-00024789,trabajador,San Miguel Petapa,true,,UPDATE,22665
TC-00024790,trabajador,Zona 9,true,,UPDATE,1912
TC-00024798,estudiante,Zona 1,true,,UPDATE,28641
TC-00024808,adulto_mayor,Zona 9,true,,UPDATE,29328
TC-00024811,trabajador,Zona 12,true,,INSERT,17988
TC-00024812,general,Villa Nueva,true,,UPDATE,12181
TC-00024817,adulto_mayor,Zona 11,true,,UPDATE,28119
